Back to Contents;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Table 25; CPI Weights: 2006 to 2018;;;;;;;;;;;;;;;;
; parts per 1000;;;;;;;;;;;;;;;;
;2015=100;;;;;;;;;;;;;;;;
;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017 
Jan";"2017 
Feb-Dec";"2018
Jan";"2018
Feb-Dec"
;L89O;04.3.2.1 Services of plumbers; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,70;0,70;0,70;0,35;0,70;0,70
;L89P;04.3.2.2 Services of electricians; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,44;0,44;0,44;0,22;0,44;0,44
;L89Q;04.3.2.4 Services of painters; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,44;0,44;0,44;0,22;0,44;0,44
;L89R;04.3.2.5 Services of carpenters; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,42;0,42;0,42;0,21;0,42;0,42
;;;;;;;;;;;;;;;;;
;CJVE;04.4 Water supply and misc. services for the dwelling;10;10;11;11;11;10;10;11;12;12;11;11;11;11;11
;CJWW;04.4.1 Water supply;5;5;5;5;5;5;5;6;6;6;6;5;5;5;5
;CJWY;04.4.3 Sewerage collection;5;5;6;6;6;5;5;5;6;6;5;6;6;6;6
;;;;;;;;;;;;;;;;;
;CJVF;04.5 Electricity, gas and other fuels;32;39;35;46;47;44;56;48;45;42;35;33;34;34;34
;CJXA;04.5.1 Electricity;15;19;17;20;19;19;20;19;21;20;17;16;17;17;17
;CJXB;04.5.2 Gas;14;18;15;23;25;22;32;26;21;20;16;15;15;15;15
;L89X;04.5.2.1 Natural gas and town gas; ..; ..; ..; ..; ..; ..; ..; ..; ..;19,60;14,70;14,70;14,70;14,70;14,70
;L89Y;04.5.2.2 Liquefied hydrocarbons (butane, propane, etc.); ..; ..; ..; ..; ..; ..; ..; ..; ..;0,40;0,30;0,30;0,30;0,30;0,30
;CJXC;04.5.3 Liquid fuels;2;1;2;2;2;2;3;2;2;1;1;1;1;1;1
;CJXD;04.5.4 Solid fuels;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;
;CJVG;05.1 Furniture, furnishings and carpets;32;28;28;28;25;23;20;20;21;21;20;23;22;24;22
;CJXF;05.1.1 Furniture and furnishings;25;22;22;21;19;18;16;16;16;15;16;19;18;19;18
;L8A3;05.1.1.1 Household furniture; ..; ..; ..; ..; ..; ..; ..; ..; ..;15,47;15,47;17,29;16,38;17,29;16,38
;L8A4;05.1.1.2 Garden furniture; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,34;0,34;0,38;0,36;0,38;0,36
;L8A7;05.1.1.3 Lighting equipment; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,68;0,68;0,76;0,72;0,76;0,72
;L8A8;05.1.1.9 Other furniture and furnishings; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,51;0,51;0,57;0,54;0,57;0,54
;CJXG;05.1.2 Carpets and other floor coverings;7;6;6;7;6;5;4;4;5;6;4;4;4;5;4
;L8A9;05.1.2.1 Carpets and rugs; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,68;3,68;3,68;3,68;4,05;3,24
;L8AC;05.1.2.2 Other floor coverings; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,32;0,32;0,32;0,32;0,95;0,76
;;;;;;;;;;;;;;;;;
;CJVH;05.2 Household textiles;8;8;8;7;8;8;7;8;7;6;7;8;7;7;7
;L8AD;05.2.0.1 Furnishings fabrics and curtains; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,38;2,38;2,72;2,38;2,38;2,38
;L8AE;05.2.0.2 Bed linen; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,43;3,43;3,92;3,43;3,43;3,43
